Feature	Mean_Importance	Std_Importance
var319	0.0016377774	0.003084449
var233	0.0016373751	0.0024353515
var303	0.0016372532	0.0028909831
var73	0.0016363555	0.0016405139
var234	0.0016331056	0.0016635185
var106	0.0016179022	0.0015693055
var163	0.0016100667	0.0028754491
var30	0.0015999845	0.0013824102
var336	0.0015994293	0.003727525
var345	0.0015974435	0.004204801
var78	0.0015938506	0.0026622673
var197	0.0015934479	0.002912597
var227	0.0015894797	0.0014787812
var192	0.0015872604	0.003843486
var377	0.001586731	0.0045035766
var171	0.0015848377	0.0020200415
var61	0.0015800026	0.0035702786
var414	0.0015779155	0.0027556438
var369	0.0015767079	0.0037524127
var182	0.001572063	0.002279864
var354	0.0015672928	0.0039267666
var191	0.0015615512	0.0026667463
var94	0.0015545451	0.0017031762
var175	0.0015542889	0.0029709393
var118	0.0015529362	0.0016033922
var361	0.0015523382	0.0055199303
var249	0.0015511692	0.0046699
var60	0.0015470514	0.001675593
var139	0.0015463915	0.0016935526
var81	0.001534439	0.0037088983
var312	0.0015324162	0.0025603373
var262	0.0015307456	0.0020932634
var210	0.0015287799	0.0039762226
var117	0.0015229743	0.0022206476
var109	0.0015213975	0.0018560757
var59	0.0015177384	0.0016026082
var316	0.001514787	0.0028695585
var207	0.0015137782	0.0026882116
var168	0.0015069568	0.002310336
var143	0.0015043698	0.0020834408
var270	0.0015017173	0.0033446958
var190	0.0014939312	0.0022050096
var29	0.0014720906	0.0013357117
var392	0.00146922	0.003983213
var384	0.0014649227	0.0042856536
var326	0.0014595166	0.0032309669
var198	0.001458199	0.0033165293
var19	0.0014579312	0.0012507577
var114	0.0014522455	0.0016559497
var80	0.0014506397	0.0017449578
var66	0.0014456016	0.0011273676
var235	0.0014442161	0.0018773775
var67	0.0014414993	0.0011176469
var390	0.001439827	0.0033064622
var284	0.0014373467	0.0031859404
var379	0.0014355503	0.0030598543
var290	0.001434091	0.0027152703
var368	0.0014326066	0.0031289777
var75	0.0014242879	0.0016912143
var371	0.00142427	0.003451556
var420	0.0014232898	0.0031925836
var397	0.0014176958	0.003986169
var127	0.0014153688	0.0014976214
var383	0.0014101431	0.0034005826
var213	0.00140667	0.0047613326
var200	0.0014048135	0.0020031398
var44	0.0013976947	0.0015381023
var43	0.0013961804	0.0015093858
var194	0.0013940362	0.0021031129
var189	0.0013927468	0.0016267325
var217	0.0013892227	0.0026082338
var85	0.0013872349	0.0019216181
var148	0.0013790835	0.0017000288
var202	0.0013746736	0.002220085
var320	0.0013686628	0.002699607
var389	0.0013509612	0.0028168978
var355	0.0013499117	0.003370455
var112	0.0013393221	0.0018729488
var337	0.0013372471	0.0029698545
var129	0.0013318759	0.0019498133
var40	0.0013191792	0.0033579862
var260	0.0013177305	0.0026720539
var107	0.0013128349	0.0032517638
var124	0.0013051927	0.001436153
var255	0.001296354	0.0011730756
var135	0.0012943089	0.0022356978
var300	0.0012900212	0.002948654
var199	0.0012822121	0.0023504589
var15	0.0012729728	0.0009506675
var232	0.0012667716	0.0028831025
var70	0.0012326058	0.0011625739
var149	0.0012262972	0.0018238742
var193	0.0012237948	0.0022012491
var170	0.0012228678	0.0018248021
var16	0.0012205291	0.000880249
var185	0.0012127694	0.002467208
var412	0.0012019818	0.0038684062
var427	0.0011833588	0.0015005753
var178	0.0011778808	0.0020904506
var196	0.0011734983	0.0029806779
var378	0.0011709784	0.0025610349
var102	0.0011706238	0.0014407432
var407	0.0011686583	0.0028133898
var10	0.0011682793	0.00084233785
var153	0.0011682232	0.0013672782
var113	0.0011652648	0.0012537723
var374	0.0011616278	0.0035487625
var140	0.0011595789	0.0014461454
var141	0.0011275936	0.0012668716
var21	0.0011253902	0.00094020716
var314	0.0010992561	0.0028747818
var287	0.0010978003	0.0021856015
var417	0.0010791362	0.0023017682
var310	0.0010768506	0.0024379026
var205	0.0010712845	0.0021740594
var137	0.0010397595	0.00205073
var421	0.0010345225	0.003034968
var424	0.0010284926	0.002390212
var13	0.0010175756	0.0008073741
var391	0.0010040691	0.002691923
var408	0.0009828528	0.0021360277
var45	0.0009707322	0.00096684386
var394	0.00094237237	0.0021759854
var315	0.00094062963	0.0029109016
var410	0.00091184035	0.002946105
var334	0.0008830178	0.002058658
var426	0.00087913155	0.004024149
var248	0.0008703177	0.005305206
var413	0.0008253611	0.0030974979
var188	0.0008183926	0.0012444664
var425	0.00081764505	0.0023965016
var223	0.00075962394	0.0018245337
var211	0.0005913742	0.0021481668
var48	0.0005755412	0.0026409295
var183	0.0005226291	0.0019768416
var1	0.00046103686	0.00023339517
var258	0.0004528716	0.0026571758
var257	0.00037205237	0.0019259522
var251	0.00015460186	0.0013967779
var254	0.00011953448	0.0003811437
var56	8.925753e-05	0.0010523831
var55	8.7443994e-05	0.00092311506
var62	6.796434e-05	0.00061702926
var252	3.4629855e-05	0.00053062994
var51	3.4110424e-05	0.00068220636
var237	2.5223468e-05	0.0004242557
var65	1.4201492e-05	0.00012621234
var54	8.988063e-07	1.0112624e-05
var49	4.0769945e-07	7.246202e-06
var53	3.1374077e-07	6.2748154e-06
var50	1.1926655e-07	1.2716739e-06
var238	1.4231251e-09	1.5845078e-08
var52	0.0	0.0
var57	0.0	0.0
var47	0.0	0.0
var27	0.0	0.0
var35	0.0	0.0
